day,2012,2013,2014,2015,2016,2017,2018,2019,2020
313,0.17632,0.207,0.26806,0.25603,0.33636,0.169,0.611,0.252,0.18166
314,0.27673,0.205,0.22525,0.22708,0.26274,0.114,0.408,0.224,0.17542
315,0.33211,0.212,0.19685,0.28228,0.22899,0.111,0.412,0.211,0.16986
316,0.42678,0.204,0.15619,0.215,0.2092,0.108,0.747,0.184,0.1589
317,0.59111,0.188,0.12774,0.22421,0.19479,0.102,0.431,0.175,0.16689
318,0.83411,0.207,0.11381,0.23861,0.18521,0.106,0.351,0.184,0.15339
319,1.25246,0.203,0.09281,0.43035,0.15935,0.118,0.325,0.177,0.16108
320,1.63195,0.199,0.07734,0.99774,0.13339,0.119,0.282,0.182,0.1632
321,2.69479,0.187,0.06183,1.30111,0.1253,0.108,0.249,0.181,0.16328
322,4.15694,0.166,0.052,0.49156,0.12207,0.109,0.227,0.185,0.14847
